CustID,Name,gender,age,education,occupation,income,telephone,marital,email,address,retire,custcat
10015,林丹,男,34,高中,普通工人,5至10万,151****0139,是,jaclyn12@adventure-works.com,3448 Sun View Terr.,否,高价值客户
10030,苏冬露,男,54,硕士及其以上,技术工人,10至20万,132****0174,是,mariah6@adventure-works.com,4924 Mariposa,否,低价值客户
10045,薛光,男,37,高中,普通工人,5至10万,185****0117,否,ebony4@adventure-works.com,4381 Amazonas,否,低价值客户
10060,谢君,女,60,初中及其以下,普通工人,5万以下,155****0164,是,brooke7@adventure-works.com,5720 A St.,是,低价值客户
10075,徐关茵,男,28,本科,公司白领,30万以上,145****0190,是,dalton18@adventure-works.com,1906 Seaview Avenue,否,一般价值客户
10090,袁松,女,36,高中,普通工人,5至10万,152****0117,否,linda31@adventure-works.com,265 Jeff Ct,否,一般价值客户
10105,苏江丽,女,27,大专,普通工人,10至20万,147****0188,否,ian57@adventure-works.com,1940 C Mt. Hood Circle,否,高价值客户
10120,何娇,女,40,大专,普通工人,5至10万,137****0151,否,jennifer92@adventure-works.com,8143 Creekridge Lane,否,一般价值客户
10135,丁崆,女,40,本科,公司白领,20至30万,166****0173,否,jesse15@adventure-works.com,8811 The Trees Dr.,否,高价值客户
10150,韦实,女,48,大专,普通工人,10至20万,136****0190,是,jennifer52@adventure-works.com,2755 Fairfield Ave,否,一般价值客户
10165,巩嫒,女,19,高中,普通工人,5至10万,188****0142,是,orlando14@adventure-works.com,7031 Horseshoe Circle,否,低价值客户
10180,程安,男,27,高中,普通工人,5至10万,186****0185,是,morgan29@adventure-works.com,6091 Bluefish Lane,否,高价值客户
10195,俞毅,女,40,初中及其以下,普通工人,5万以下,180****0154,否,victoria20@adventure-works.com,5872 L St.,否,一般价值客户
10210,麦虢,女,55,高中,普通工人,5至10万,138****0143,否,maurice4@adventure-works.com,2964 Mt. Washington,否,高价值客户
10225,康丽,女,39,高中,普通工人,5至10万,177****0131,是,dennis7@adventure-works.com,1433 Manila Avenue,否,一般价值客户
10240,陈霖,女,52,初中及其以下,普通工人,10至20万,181****0131,否,lindsay3@adventure-works.com,6968 Hobby Court,否,低价值客户
10255,黄娜,女,27,大专,普通工人,10至20万,180****0189,是,sebastian12@adventure-works.com,6837 Pirate Lane,否,低价值客户
10270,卢芳,女,38,高中,普通工人,10至20万,176****0116,是,sarah40@adventure-works.com,7784 Mt. Etna,否,高价值客户
10285,常明媚,女,32,大专,普通工人,10至20万,132****0148,否,lance14@adventure-works.com,8328 San Francisco,否,低价值客户
10300,佘莲,男,25,本科,技术工人,20至30万,152****0145,否,adam10@adventure-works.com,5457 Woodcrest Dr.,否,一般价值客户
10315,贺宁,女,64,高中,管理人员,5至10万,150****0171,否,jenny21@adventure-works.com,1613 Cotton Ct,是,一般价值客户
10330,谢斯云,男,36,高中,普通工人,10至20万,171****0156,是,carla24@adventure-works.com,3788 Concord Place,否,低价值客户
10345,贺伟,男,65,初中及其以下,普通工人,10至20万,181****0124,是,hannah9@adventure-works.com,5800 Abbey Court,是,一般价值客户
10360,苏磊,女,38,本科,技术工人,30万以上,166****0148,是,rachael1@adventure-works.com,4598 Manila Avenue,否,一般价值客户
10375,廖乐,男,51,硕士及其以上,专业人员,20至30万,187****0122,是,george13@adventure-works.com,4332 Listing Ct,否,低价值客户
10390,彭雯,男,62,硕士及其以上,管理人员,20至30万,183****0167,是,justin27@adventure-works.com,5485 Wee Donegal,是,一般价值客户
10405,柯婷,女,57,硕士及其以上,技术工人,20至30万,188****0121,是,jillian15@adventure-works.com,1850 Lancelot Drive,是,一般价值客户
10420,涂安,女,39,本科,专业人员,20至30万,155****0129,是,latoya0@adventure-works.com,1064 Armstrong Rd.,否,低价值客户
10435,吕婵娟,女,47,初中及其以下,普通工人,10至20万,152****0180,否,randall2@adventure-works.com,9431 College Blvd,否,一般价值客户
